,WKT,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,ENDO,COAST,ORDER,SORT,PFAF_1,PFAF_2,PFAF_3,PFAF_4,PFAF_5,PFAF_6,PFAF_7,PFAF_8,PFAF_9,PFAF_10,PFAF_11,PFAF_12
0,"MULTIPOLYGON (((4.16666666666668 51.9375,4.15590888129342 51.9378533257379,4.14999864366321 51.9437340630426,4.15381334092884 51.9475755479601,4.15416666666668 51.9541666666667,4.1533157348633 51.95748240153,4.15 51.9583333333334,4.15 51.9625,4.15659111870661 51.9628533257379,4.16424221462675 51.9704800075955,4.16666666666668 51.9708333333334,4.1702348497179 51.9699176364475,4.17083333333335 51.95,4.17083333333335 51.9458333333334,4.16732788085939 51.9449337429471,4.16666666666668 51.9375)))",2000023010,0,2000023010,2000023010,0.0,0.0,3.8,163008.5,0,0,1,32979,2,23,232,2326,23261,232610,2326101,23261011,232610110,2326101100,23261011000,232610110000
2,"MULTIPOLYGON (((4.17083333333335 51.9458333333334,4.17083333333335 51.95,4.175 51.95,4.1783157348633 51.9508509318034,4.17916666666668 51.9541666666667,4.18333333333335 51.9541666666667,4.19383934868708 51.9547717624241,4.19782731797962 51.957728237576,4.20633934868708 51.9589384290907,4.21032731797962 51.9618949042427,4.25217268202042 51.9631050957574,4.25616065131295 51.9660615709093,4.26050601535375 51.9672717624241,4.26572180853951 51.9711386786567,4.2665969848633 51.9652160644532,4.26189490424264 51.9588740030925,4.26426408555774 51.9535615709093,4.27300601535375 51.9547717624241,4.27708333333335 51.9577945285374,4.28125 51.9547054714627,4.2869593302409 51.9589384290907,4.29506140814889 51.9575134277344,4.29660932752823 51.946624077691,4.30616065131295 51.9381050957574,4.31050601535375 51.9368949042427,4.31449398464629 51.9339384290907,4.31883934868708 51.932728237576,4.32699398464629 51.9256050957574,4.33257988823787 51.9240495469835,4.33408677842884 51.9134504530165,4.34075910780167 51.911592441135,4.34166666666669 51.9083333333334,4.34060618082684 51.9048990885417,4.32156931559247 51.9034088134766,4.32083333333335 51.8916666666667,4.32083333333335 51.8875,4.31740078396269 51.8866190592448,4.31609937879776 51.8782294379341,4.3244327121311 51.8688771565756,4.32556728786894 51.8644561767578,4.32869788275827 51.8604166666667,4.3246041191949 51.8551344129775,4.3186228434245 51.8535993787978,4.31471048990887 51.850567287869,4.30918426513674 51.8491490681966,4.30833333333335 51.8458333333334,4.2686228434245 51.8452660454644,4.26471048990887 51.8422339545356,4.25739610460071 51.8410993787978,4.24804382324221 51.8494327121311,4.23945617675783 51.850567287869,4.23430107964411 51.8545625474718,4.23248240152997 51.8616490681966,4.2258509318034 51.8633509318034,4.22414906819663 51.86998240153,4.21751759847007 51.8716842651368,4.21609937879776 51.8772104899089,4.2121041191949 51.8823655870226,4.2061228434245 51.8839006212023,4.20221048990887 51.8869327121311,4.2 51.8875,4.20056728786894 51.8897104899089,4.20776604546443 51.8977895100912,4.20890062120227 51.9022104899089,4.21193271213109 51.9061228434245,4.21306728786894 51.9112850613065,4.2061228434245 51.913067287869,4.20221048990887 51.9160993787978,4.19778951009116 51.9172339545356,4.19387715657554 51.9202660454644,4.18945617675783 51.9214006212023,4.17721048990887 51.9327660454644,4.16755405002172 51.9340418497722,4.16666666666668 51.9375,4.16732788085939 51.9449337429471,4.17083333333335 51.9458333333334)))",2000379680,2000023010,2000023010,2000023010,1.9,1.9,101.4,162653.3,0,0,1,32981,2,23,232,2326,23261,232610,2326101,23261013,232610130,2326101300,23261013000,232610130000
3,"MULTIPOLYGON (((4.50833333333335 51.8708333333334,4.45195617675783 51.8714006212023,4.44804382324221 51.8744327121311,4.44092000325523 51.875567287869,4.43554382324221 51.8714006212023,4.40342000325523 51.8702660454644,4.39804382324221 51.8744327121311,4.3811228434245 51.875567287869,4.37721048990887 51.8785993787978,4.36175333658856 51.8797339545356,4.35637715657554 51.875567287869,4.34508666992189 51.8744327121311,4.33846774631078 51.8795625474718,4.33664906819663 51.8866490681966,4.33001759847007 51.8883509318034,4.32916666666669 51.8916666666667,4.32083333333335 51.8916666666667,4.32156931559247 51.9034088134766,4.34060618082684 51.9048990885417,4.34166666666669 51.9083333333334,4.34387715657554 51.9089006212023,4.34778951009116 51.9119327121311,4.35221048990887 51.913067287869,4.35767737494577 51.9176264444987,4.35899454752606 51.9324337429471,4.36471048990887 51.9339006212023,4.37278951009116 51.9410993787978,4.3783157348633 51.9425175984701,4.37916666666669 51.9458333333334,4.38159111870662 51.9454800075955,4.38507554796009 51.9420199924045,4.39409111870662 51.9413133409289,4.40661688910592 51.9288133409289,4.43159111870662 51.9295199924046,4.43924221462676 51.9371466742622,4.47083333333335 51.9375,4.47140062120228 51.9352895100912,4.4744327121311 51.9313771565756,4.47591569688587 51.9255984836155,4.51575096978084 51.9244015163846,4.51751759847007 51.9175175984701,4.52083333333335 51.9166666666667,4.52083333333335 51.9125,4.51666666666669 51.9125,4.51666666666669 51.9083333333334,4.51424221462676 51.9079800075955,4.5086869981554 51.9024524264866,4.50833333333335 51.8708333333334)))",2000381010,2000379680,2000023010,2000023010,15.4,15.4,77.8,161129.9,0,0,1,32982,2,23,232,2326,23261,232610,2326101,23261015,232610150,2326101501,23261015010,232610150100
6,"MULTIPOLYGON (((4.50833333333335 51.8708333333334,4.5086869981554 51.9024524264866,4.51424221462676 51.9079800075955,4.51666666666669 51.9083333333334,4.51666666666669 51.9125,4.52083333333335 51.9125,4.53159111870662 51.9128533257379,4.53507554796009 51.9163133409289,4.53992445203995 51.9170199924045,4.54340888129342 51.9204800075955,4.55659111870662 51.9211866590712,4.56007554796009 51.9246466742622,4.56492445203995 51.9253533257379,4.56840888129342 51.9288133409289,4.57083333333335 51.9291666666667,4.57026604546443 51.9227895100912,4.56713545057511 51.91875,4.57026604546443 51.9147104899089,4.57168426513674 51.9091842651368,4.575 51.9083333333334,4.57414906819664 51.9050175984701,4.57083333333335 51.9041666666667,4.57083333333335 51.9,4.57009819878474 51.8924692789714,4.55930497911243 51.8908984714085,4.55771569146052 51.8853398640951,4.55478430853952 51.8813268025716,4.55416666666669 51.8666666666667,4.54757554796009 51.8663133409289,4.54409111870662 51.8628533257379,4.52745378282337 51.8621466742622,4.52325778537328 51.8663133409289,4.51840888129342 51.8670199924046,4.51492445203995 51.8704800075955,4.50833333333335 51.8708333333334)))",2000380580,2000381010,2000023010,2000023010,31.2,31.2,21.6,160883.2,0,0,1,32985,2,23,232,2326,23261,232610,2326101,23261015,232610150,2326101503,23261015030,232610150300
7,"MULTIPOLYGON (((4.52083333333335 51.9125,4.52083333333335 51.9166666666667,4.51751759847007 51.9175175984701,4.51575096978084 51.9244015163846,4.47591569688587 51.9255984836155,4.4744327121311 51.9313771565756,4.47140062120228 51.9352895100912,4.47083333333335 51.9375,4.47168426513674 51.9408157348633,4.47815992567276 51.9424775865343,4.47973395453561 51.9465799967448,4.47556728786894 51.9519561767578,4.4744327121311 51.9605438232422,4.47140062120228 51.9644561767578,4.47026604546443 51.9772104899089,4.46713545057511 51.98125,4.47026604546443 51.9852895100912,4.47168426513674 51.9908157348633,4.47845815022788 51.9925540500217,4.47973395453561 52.0022104899089,4.48353474934898 52.0071146647136,4.48248765733509 52.011786058214,4.47278951009117 52.013067287869,4.46471048990887 52.0202660454644,4.45 52.0208333333333,4.45073479546443 52.02836066352,4.47283986409507 52.0493823581272,4.47716013590497 52.0506176418729,4.48533986409507 52.0577156914605,4.49155273437502 52.0594921535916,4.49645097520618 52.0661975436741,4.49521569146052 52.0688268025716,4.49228430853952 52.0728398640951,4.49104902479386 52.077160135905,4.48811764187285 52.0811731974284,4.48688235812719 52.0979934692383,4.48306596544056 52.1032180786133,4.4950391981337 52.1049608018664,4.4966015285916 52.1156950208876,4.5 52.1166666666667,4.50833333333335 52.1166666666667,4.51044311523439 52.11599867079,4.51458333333335 52.1131496853299,4.51872355143231 52.11599867079,4.5229431152344 52.1173346625434,4.52708333333335 52.1201836480035,4.53122355143231 52.1173346625434,4.54377644856773 52.11599867079,4.54789021809898 52.1131679958768,4.58677062988283 52.1117848714193,4.5875 52.0958333333334,4.58325873480905 52.0946207682292,4.58688235812719 52.089660135905,4.58821716308596 52.0759862263998,4.59382680257164 52.0743823581272,4.59884117974177 52.0707194010417,4.60061764187285 52.0645065307618,4.60354902479386 52.0604934692383,4.60478430853952 52.0578642103407,4.59966888427736 52.0508614434137,4.58825361463761 52.049200100369,4.58688235812719 52.0370308770074,4.59193403455948 52.0301152547201,4.57989603678388 52.0283632066515,4.57854902479386 52.0138678656684,4.58673180474177 52.011528354221,4.58811764187285 52.0020065307618,4.59521569146052 51.9938268025716,4.59645097520618 51.9895065307618,4.59938235812719 51.9854934692383,4.60061764187285 51.9811731974284,4.60354902479386 51.977160135905,4.60478430853952 51.9728398640951,4.61279669867624 51.9636064317492,4.62104458279082 51.9612482706706,4.60772993299698 51.9466551038954,4.59783986409507 51.9452156914605,4.59382680257164 51.9422843085395,4.58950653076174 51.9410490247939,4.5854934692383 51.9381176418729,4.57700653076174 51.9368823581272,4.5719921535916 51.9332194010417,4.57083333333335 51.9291666666667,4.56840888129342 51.9288133409289,4.56492445203995 51.9253533257379,4.56007554796009 51.9246466742622,4.55659111870662 51.9211866590712,4.54340888129342 51.9204800075955,4.53992445203995 51.9170199924045,4.53507554796009 51.9163133409289,4.53159111870662 51.9128533257379,4.52083333333335 51.9125)))",2000380390,2000381010,2000023010,2000023010,31.2,31.2,169.3,169.4,0,0,2,32986,2,23,232,2326,23261,232610,2326101,23261015,232610150,2326101502,23261015020,232610150200
8,"MULTIPOLYGON (((4.57083333333335 51.9,4.57083333333335 51.9041666666667,4.57414906819664 51.9050175984701,4.575 51.9083333333334,4.58575778537328 51.9086866590712,4.59340888129342 51.9163133409289,4.63159111870662 51.9170199924045,4.63924221462676 51.9246466742622,4.64409111870662 51.9253533257379,4.64828711615671 51.9295199924046,4.66492445203995 51.9288133409289,4.66840888129342 51.9253533257379,4.68333333333335 51.925,4.68395097520618 51.9228398640951,4.68811764187285 51.9171357896593,4.68688235812719 51.9103398640951,4.68306596544056 51.9051152547201,4.69509819878474 51.903364054362,4.69583333333336 51.8958333333334,4.69645097520618 51.8936731974284,4.70061764187285 51.8879691229927,4.69884406195749 51.8841940985786,4.69104902479386 51.881965467665,4.69263949924047 51.8702156914605,4.71882680257164 51.8714509752062,4.72283986409507 51.8743823581272,4.7354934692383 51.8756176418729,4.73950653076174 51.8785490247939,4.7479934692383 51.8797843085395,4.75200653076174 51.8827156914605,4.7604934692383 51.8839509752062,4.76450653076174 51.8868823581272,4.77716013590497 51.8881176418729,4.78125 51.8911051432292,4.78541666666669 51.8880615234375,4.78950653076174 51.8910490247939,4.8104934692383 51.8922843085395,4.81450653076174 51.8952156914605,4.83132680257164 51.8964509752062,4.83533986409507 51.8993823581272,4.83966013590497 51.9006176418729,4.84367302788631 51.9035490247939,4.8604936387804 51.9047843085395,4.86450636121964 51.9077156914605,4.87716030544707 51.9089509752062,4.88125 51.9119384765625,4.88533969455297 51.9089509752062,4.89799363878041 51.9077156914605,4.90200636121964 51.9047843085395,4.90740695529516 51.9032402886285,4.90833333333336 51.9,4.90797899034291 51.8892150878907,4.89825778537329 51.8795199924045,4.89340888129343 51.8788133409289,4.88575778537329 51.8711866590712,4.87257554796009 51.8704800075955,4.86909111870662 51.8670199924046,4.86424221462676 51.8663133409289,4.86075778537329 51.8628533257379,4.85174221462676 51.8621466742622,4.84825778537329 51.8586866590712,4.82257554796009 51.8579800075955,4.81909111870662 51.8545199924045,4.76424221462676 51.8538133409289,4.76075778537329 51.8503533257379,4.7375 51.85,4.73528951009117 51.8494327121311,4.73137715657554 51.8464006212023,4.69778951009117 51.8452660454644,4.69263441297745 51.8412707858616,4.69109937879776 51.8352895100912,4.68650224473743 51.8297770182292,4.66028951009117 51.8285993787978,4.65637715657554 51.825567287869,4.64778951009117 51.8244327121311,4.64375 51.8213021172418,4.63971048990888 51.8244327121311,4.63404184977216 51.8258873833551,4.63276604546443 51.8355438232422,4.62820688883466 51.8410107082791,4.61445617675783 51.8422339545356,4.60221048990887 51.8535993787978,4.6 51.8541666666667,4.58924221462676 51.8545199924045,4.58575778537328 51.8579800075955,4.56840888129342 51.8586866590712,4.56492445203995 51.8621466742622,4.56007554796009 51.8628533257379,4.55659111870662 51.8663133409289,4.55416666666669 51.8666666666667,4.55478430853952 51.8813268025716,4.55771569146052 51.8853398640951,4.55930497911243 51.8908984714085,4.57009819878474 51.8924692789714,4.57083333333335 51.9)))",2000380800,2000380580,2000023010,2000023010,36.1,36.1,134.2,160475.7,0,0,1,32987,2,23,232,2326,23261,232610,2326101,23261017,232610171,2326101711,23261017110,232610171100
11,"MULTIPOLYGON (((4.97083333333336 51.9583333333334,4.97083333333336 51.9291666666667,4.96840888129343 51.9295199924046,4.96458333333336 51.9333187527127,4.96075778537329 51.9295199924046,4.95174221462676 51.9288133409289,4.94409111870662 51.9211866590712,4.93507554796009 51.9204800075955,4.93159111870662 51.9170199924045,4.92674221462676 51.9163133409289,4.91075778537329 51.9003533257379,4.90833333333336 51.9,4.90740695529516 51.9032402886285,4.90200636121964 51.9047843085395,4.89799363878041 51.9077156914605,4.88533969455297 51.9089509752062,4.88125 51.9119384765625,4.87716030544707 51.9089509752062,4.86450636121964 51.9077156914605,4.8604936387804 51.9047843085395,4.84367302788631 51.9035490247939,4.83966013590497 51.9006176418729,4.83533986409507 51.8993823581272,4.83132680257164 51.8964509752062,4.81450653076174 51.8952156914605,4.8104934692383 51.8922843085395,4.78950653076174 51.8910490247939,4.78541666666669 51.8880615234375,4.78125 51.8911051432292,4.77716013590497 51.8881176418729,4.76450653076174 51.8868823581272,4.7604934692383 51.8839509752062,4.75200653076174 51.8827156914605,4.7479934692383 51.8797843085395,4.73950653076174 51.8785490247939,4.7354934692383 51.8756176418729,4.72283986409507 51.8743823581272,4.71882680257164 51.8714509752062,4.69263949924047 51.8702156914605,4.69104902479386 51.881965467665,4.69884406195749 51.8841940985786,4.70061764187285 51.8879691229927,4.69645097520618 51.8936731974284,4.69583333333336 51.8958333333334,4.69509819878474 51.903364054362,4.68306596544056 51.9051152547201,4.68688235812719 51.9103398640951,4.68811764187285 51.9171357896593,4.68395097520618 51.9228398640951,4.68333333333335 51.925,4.70637715657554 51.925567287869,4.71028951009117 51.9285993787978,4.71471048990888 51.9297339545356,4.7186228434245 51.9327660454644,4.72721048990888 51.9339006212023,4.73528951009117 51.9410993787978,4.74387715657554 51.9422339545356,4.75195617675783 51.9494327121311,4.76054382324221 51.950567287869,4.76445617675784 51.9535993787978,4.78137715657554 51.9547339545356,4.78528951009117 51.9577660454644,4.80221048990888 51.9589006212023,4.8061228434245 51.9619327121311,4.81577928331165 51.9632085164388,4.81723395453561 51.9688771565756,4.82026604546443 51.9727895100912,4.82083333333336 51.975,4.82712232801652 51.9743445502387,4.83121100531686 51.9714887830946,4.83962232801652 51.9701778835721,4.84787767198353 51.9631554497613,4.85212232801652 51.9618445502388,4.85808749728735 51.9576778835721,4.88962232801652 51.9589887830947,4.89371100531686 51.9618445502388,4.90628899468318 51.9631554497613,4.91037767198353 51.9660112169054,4.92046271430124 51.9675828721789,4.92851121690541 51.9770443386502,4.92982211642797 51.9812889946832,4.93267788357207 51.9853776719835,4.93407355414499 52.007640753852,4.95833333333336 52.0083333333334,4.95776604546443 52.0061228434245,4.95473395453561 52.0022104899089,4.95359937879777 51.9852895100912,4.94973551432294 51.9803037855361,4.95637715657554 51.9785993787978,4.96028951009117 51.975567287869,4.96581590440541 51.9741490681967,4.96723395453561 51.9686228434245,4.97026604546443 51.9647104899089,4.97083333333336 51.9583333333334)))",2001115240,2000380800,2000023010,2000023010,46.0,46.0,133.0,160341.9,0,0,1,32990,2,23,232,2326,23261,232610,2326101,23261017,232610171,2326101712,23261017120,232610171200
15,"MULTIPOLYGON (((4.97083333333336 51.9583333333334,4.97026604546443 51.9647104899089,4.96723395453561 51.9686228434245,4.96581590440541 51.9741490681967,4.96028951009117 51.975567287869,4.95637715657554 51.9785993787978,4.94973551432294 51.9803037855361,4.95359937879777 51.9852895100912,4.95473395453561 52.0022104899089,4.95776604546443 52.0061228434245,4.95833333333336 52.0083333333334,4.95895080566409 52.014660135905,4.97021586100263 52.0270065307618,4.97178175184464 52.0377673678928,4.97700636121964 52.0339509752062,5.00632697211374 52.0327156914605,5.01033969455298 52.0297843085395,5.01466030544707 52.0285490247939,5.03117302788631 52.0131176418729,5.0591006808811 52.0118823581272,5.07016771104603 52.021698167589,5.07083333333336 52.0375,5.07826707628041 52.0381612141927,5.07916666666669 52.0416666666667,5.10242445203996 52.0413133409289,5.10625 52.0375145806207,5.11007554796009 52.0413133409289,5.12325778537329 52.0420199924045,5.12674221462676 52.0454800075955,5.14583333333336 52.0458333333334,5.14679734971791 52.0421788533529,5.15613538953996 52.0339131673177,5.17303127712676 52.032753499349,5.18113538953996 52.0255798339844,5.1871754964193 52.02398630778,5.19224650065107 52.0173460218642,5.19108683268232 52.0144687228733,5.18692016601565 52.0090126885309,5.18811611599395 51.9759682549371,5.19363538953996 51.9714131673177,5.2005798339844 51.9695810953776,5.19912787543405 51.9631796942817,5.19166666666669 51.9625,5.19166666666669 51.9583333333334,5.18413594563805 51.9575981987848,5.18271586100263 51.9478398640951,5.17145080566409 51.9354934692383,5.17083333333336 51.925,5.1686228434245 51.9244327121311,5.16471048990888 51.9214006212023,5.16028951009117 51.9202660454644,5.15637715657555 51.9172339545356,5.14778951009117 51.9160993787978,5.14387715657555 51.913067287869,5.1325866699219 51.9119327121311,5.12596774631079 51.9170625474718,5.1244327121311 51.9230438232422,5.12140062120228 51.9269561767578,5.12026604546443 51.9313771565756,5.11713528103301 51.9354166666667,5.12037353515627 51.9395946926541,5.10890062120228 51.9519561767578,5.10776604546443 51.9563771565756,5.10056728786895 51.9644561767578,5.0994327121311 51.9688771565756,5.09543728298614 51.9740322536893,5.08945617675784 51.975567287869,5.08137715657555 51.9827660454644,5.07842000325523 51.9839006212023,5.07304382324221 51.9797339545356,5.0686228434245 51.9785993787978,5.06471048990888 51.975567287869,5.06028951009117 51.9744327121311,5.04804382324221 51.963067287869,5.04251742892798 51.9616490681966,5.04109937879777 51.9561228434245,5.03275044759117 51.9467530992296,5.02695617675784 51.9452660454644,5.02304382324221 51.9422339545356,5.0061228434245 51.9410993787978,5.00221048990888 51.938067287869,4.99778951009117 51.9369327121311,4.99387715657554 51.9339006212023,4.98945617675784 51.9327660454644,4.98430107964412 51.9287707858616,4.98248257107207 51.9216842651368,4.97916666666669 51.9208333333334,4.97839525010853 51.9283952501085,4.97083333333336 51.9291666666667,4.97083333333336 51.9583333333334)))",2001114680,2001115240,2000023010,2000023010,69.2,69.2,150.0,160209.7,0,0,1,32994,2,23,232,2326,23261,232610,2326101,23261017,232610171,2326101713,23261017130,232610171300
19,"MULTIPOLYGON (((5.19166666666669 51.9583333333334,5.19166666666669 51.9625,5.19912787543405 51.9631796942817,5.2005798339844 51.9695810953776,5.19363538953996 51.9714131673177,5.18811611599395 51.9759682549371,5.18692016601565 52.0090126885309,5.19108683268232 52.0144687228733,5.19224650065107 52.0173460218642,5.1871754964193 52.02398630778,5.18113538953996 52.0255798339844,5.17303127712676 52.032753499349,5.15613538953996 52.0339131673177,5.14679734971791 52.0421788533529,5.14583333333336 52.0458333333334,5.14511650933162 52.0572681003147,5.13879631890194 52.0592196994358,5.13684455023874 52.062745836046,5.14101121690541 52.0687110053169,5.14250115288631 52.087744140625,5.14787767198353 52.0839887830947,5.15335422092016 52.0822976006402,5.1550221761068 52.0715935601129,5.17107916937937 52.0701778835721,5.1770443386502 52.0743445502387,5.1794125027127 52.0756554497613,5.18537767198353 52.0714887830947,5.19378899468319 52.0701778835721,5.19787767198353 52.067322116428,5.21462232801652 52.0660112169054,5.21875372992624 52.0631254408095,5.2270443386502 52.0701778835721,5.23235032823353 52.0718163384332,5.23398878309464 52.0771223280165,5.23825480143232 52.0826273600261,5.27392747667103 52.0840267605252,5.275 52.0875,5.27742445203996 52.0878533257379,5.28090888129343 52.0913133409289,5.29166666666669 52.0916666666667,5.29251742892798 52.0883509318034,5.29583333333336 52.0875,5.3 52.0875,5.30331590440541 52.0883509318034,5.30416666666669 52.0916666666667,5.30833333333336 52.0916666666667,5.31992424858944 52.0922902425131,5.32083333333336 52.0958333333334,5.32916666666669 52.0958333333334,5.33248257107208 52.0966842651368,5.33333333333336 52.1,5.3375 52.1,5.34081590440541 52.1008509318034,5.34166666666669 52.1041666666667,5.34640062120228 52.1029517279731,5.34521179199221 52.080076429579,5.33945617675784 52.0785993787978,5.33554382324221 52.075567287869,5.33333333333336 52.075,5.32589959038631 52.0743387858073,5.32414923773874 52.0675175984701,5.31862284342451 52.0660993787978,5.30637715657555 52.0547339545356,5.29778951009117 52.0535993787978,5.28554382324221 52.0422339545356,5.28001742892798 52.0408157348633,5.27859937879777 52.0352895100912,5.26926337348093 52.024996609158,5.26054382324221 52.0327660454644,5.25331658257381 52.0339006212023,5.2465016682943 52.0282174004449,5.24526604546444 52.0159200032552,5.2494327121311 52.0105438232422,5.25056728786895 51.9992533365886,5.24640062120228 51.9938771565756,5.24526604546444 51.9867533365886,5.24953138563371 51.98125,5.24640062120228 51.9772104899089,5.24583333333336 51.975,5.24618665907121 51.9642422146268,5.25035332573787 51.9600462171767,5.24964667426218 51.9475755479601,5.24584723578562 51.9437493218316,5.25451999240454 51.9350489298503,5.25381334092885 51.9309088812934,5.25035332573787 51.92742445204,5.25 51.9208333333334,5.23108520507815 51.9203038533529,5.22724812825523 51.9171961466472,5.21858520507815 51.9161371866862,5.21474812825523 51.9130294799805,5.21025187174482 51.9119705200196,5.2064147949219 51.9088628133138,5.19471164279516 51.9078038533529,5.18126220703128 51.9204472859701,5.17599928114152 51.9161846584744,5.17144402398006 51.9176035563151,5.17083333333336 51.925,5.17145080566409 51.9354934692383,5.18271586100263 51.9478398640951,5.18413594563805 51.9575981987848,5.19166666666669 51.9583333333334)))",2001114690,2001114680,2000023010,2000023010,90.2,90.2,118.1,160060.3,0,0,1,32998,2,23,232,2326,23261,232610,2326101,23261017,232610171,2326101714,23261017140,232610171400
20,"MULTIPOLYGON (((5.24583333333336 51.975,5.24640062120228 51.9772104899089,5.24953138563371 51.98125,5.24526604546444 51.9867533365886,5.24640062120228 51.9938771565756,5.25056728786895 51.9992533365886,5.2494327121311 52.0105438232422,5.24526604546444 52.0159200032552,5.2465016682943 52.0282174004449,5.25331658257381 52.0339006212023,5.26054382324221 52.0327660454644,5.26926337348093 52.024996609158,5.27859937879777 52.0352895100912,5.28001742892798 52.0408157348633,5.28554382324221 52.0422339545356,5.29778951009117 52.0535993787978,5.30637715657555 52.0547339545356,5.31862284342451 52.0660993787978,5.32414923773874 52.0675175984701,5.32589959038631 52.0743387858073,5.33333333333336 52.075,5.33394097222225 52.0592466566298,5.33971048990888 52.0577660454644,5.34362284342451 52.0547339545356,5.34804382324221 52.0535993787978,5.35195617675784 52.050567287869,5.35637715657555 52.0494327121311,5.36028951009117 52.0464006212023,5.36471048990888 52.0452660454644,5.36862284342451 52.0422339545356,5.38137715657555 52.0410993787978,5.38528951009117 52.038067287869,5.39491373697919 52.0367957221138,5.3994327121311 52.0313771565756,5.4 52.0291666666667,5.40035332573787 52.0100755479601,5.40868665907121 52.001715596517,5.40798000759551 51.9975755479601,5.40451999240454 51.9940911187066,5.40381334092885 51.9850755479601,5.40001458062069 51.98125,5.40381334092885 51.97742445204,5.40416666666669 51.9708333333334,5.40326707628041 51.9673278808594,5.38845994737416 51.9660107082791,5.38276604546444 51.9591834174263,5.38455064561635 51.9543690999349,5.38945617675784 51.950567287869,5.39387715657555 51.9494327121311,5.40195617675784 51.9422339545356,5.41161261664499 51.9409581502279,5.4125 51.9375,5.40910169813371 51.936528354221,5.40753919813371 51.9257941351997,5.39680514865454 51.9242318047418,5.39490695529517 51.9175930447049,5.38950636121965 51.9160490247939,5.38549363878041 51.9131176418729,5.38009304470489 51.9115736219618,5.37817314995662 51.9048587375217,5.36033969455298 51.9035490247939,5.35632697211374 51.9006176418729,5.35136786566843 51.8993823581272,5.34901360405819 51.9076161702474,5.33533969455298 51.9089509752062,5.33132697211374 51.9118823581272,5.31867302788631 51.9131176418729,5.31466030544708 51.9160490247939,5.29783969455298 51.9172843085395,5.29382697211374 51.9202156914605,5.28333333333336 51.9208333333334,5.26862284342451 51.9214006212023,5.26471048990888 51.9244327121311,5.25954827202694 51.925567287869,5.2571960449219 51.9164020114475,5.25221048990888 51.9202660454644,5.25 51.9208333333334,5.25035332573787 51.92742445204,5.25381334092885 51.9309088812934,5.25451999240454 51.9350489298503,5.24584723578562 51.9437493218316,5.24964667426218 51.9475755479601,5.25035332573787 51.9600462171767,5.24618665907121 51.9642422146268,5.24583333333336 51.975)))",2001114490,2001114690,2000023010,2000023010,95.5,95.5,153.9,159942.4,0,0,1,32999,2,23,232,2326,23261,232610,2326101,23261017,232610171,2326101715,23261017150,232610171500
