WKT,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,ENDO,COAST,ORDER,SORT,PFAF_1,PFAF_2,PFAF_3,PFAF_4,PFAF_5,PFAF_6,PFAF_7,PFAF_8,PFAF_9,PFAF_10,PFAF_11,PFAF_12
"MULTIPOLYGON (((4.16666666666668 51.9375,4.15590888129342 51.9378533257379,4.14999864366321 51.9437340630426,4.15381334092884 51.9475755479601,4.15416666666668 51.9541666666667,4.1533157348633 51.95748240153,4.15 51.9583333333334,4.15 51.9625,4.15659111870661 51.9628533257379,4.16424221462675 51.9704800075955,4.16666666666668 51.9708333333334,4.1702348497179 51.9699176364475,4.17083333333335 51.95,4.17083333333335 51.9458333333334,4.16732788085939 51.9449337429471,4.16666666666668 51.9375)))","2000023010","0","2000023010","2000023010",0.0,0.0,3.8,163008.5,"0","0","1","32979","2","23","232","2326","23261","232610","2326101","23261011","232610110","2326101100","23261011000","232610110000"
"MULTIPOLYGON (((4.34166666666669 51.9083333333334,4.34075910780167 51.911592441135,4.33408677842884 51.9134504530165,4.33257988823787 51.9240495469835,4.32699398464629 51.9256050957574,4.31883934868708 51.932728237576,4.31449398464629 51.9339384290907,4.31050601535375 51.9368949042427,4.30616065131295 51.9381050957574,4.29660932752823 51.946624077691,4.29506140814889 51.9575134277344,4.2869593302409 51.9589384290907,4.28125 51.9547054714627,4.27708333333335 51.9577945285374,4.27300601535375 51.9547717624241,4.26426408555774 51.9535615709093,4.26189490424264 51.9588740030925,4.2665969848633 51.9652160644532,4.26572180853951 51.9711386786567,4.26050601535375 51.9672717624241,4.25616065131295 51.9660615709093,4.25217268202042 51.9631050957574,4.21032731797962 51.9618949042427,4.20633934868708 51.9589384290907,4.19782731797962 51.957728237576,4.19383934868708 51.9547717624241,4.18333333333335 51.9541666666667,4.17916666666668 51.9541666666667,4.1783157348633 51.9508509318034,4.175 51.95,4.17083333333335 51.95,4.1702348497179 51.9699176364475,4.16666666666668 51.9708333333334,4.16743808322484 51.9783952501085,4.18249749077693 51.9799314710829,4.18415985107424 51.9908401489258,4.19380171034073 51.9923094007704,4.19786495632597 51.9951905992296,4.2104683770074 51.9964760674371,4.21453162299264 51.9993572658963,4.22398579915366 52.0007978651259,4.22564273410375 52.0063017103408,4.23375871446399 52.0157791137696,4.24620869954429 52.0176762898763,4.23393503824872 52.0312437269423,4.23685726589629 52.035364956326,4.23814273410375 52.0396350436741,4.24102393256295 52.0436982896593,4.24230940077042 52.0461551242405,4.23814273410375 52.0520316229927,4.23685726589629 52.0548004150391,4.2463346693251 52.0658677842882,4.2604683770074 52.0673094007704,4.27286495632597 52.078523932563,4.27820248074004 52.0801308525933,4.28013085259333 52.0865358140734,4.28653581407337 52.0884641859267,4.2875 52.0916666666667,4.29825778537328 52.0920199924046,4.30174221462675 52.0954800075955,4.30416666666668 52.0958333333334,4.30469614664715 52.0935850355361,4.30780385335288 52.0897482977973,4.30886281331382 52.0810850355361,4.31302947998049 52.0759407891168,4.31197052001955 52.0685850355361,4.30886281331382 52.0647482977973,4.30780385335288 52.0560850355361,4.30363718668622 52.0509407891168,4.30484025743274 52.0425838894315,4.30933261447484 52.0411846584744,4.31502804226347 52.0457975599501,4.32863718668622 52.031414964464,4.32916666666669 52.0291666666667,4.33248240152997 52.0283157348633,4.33333333333335 52.025,4.33390062120228 52.0102895100912,4.34109937879776 52.0022104899089,4.34251759847007 51.9966842651368,4.3496041191949 51.9948655870226,4.35359937879776 51.9897104899089,4.35473395453561 51.9852895100912,4.36193271213109 51.9772104899089,4.36306728786894 51.9727895100912,4.36609937879776 51.9688771565756,4.36723395453561 51.9644561767578,4.3744327121311 51.9563771565756,4.37570851643882 51.9467207166884,4.37916666666669 51.9458333333334,4.3783157348633 51.9425175984701,4.37278951009116 51.9410993787978,4.36471048990887 51.9339006212023,4.35899454752606 51.9324337429471,4.35767737494577 51.9176264444987,4.35221048990887 51.913067287869,4.34778951009116 51.9119327121311,4.34387715657554 51.9089006212023,4.34166666666669 51.9083333333334)))","2000379530","2000023010","2000023010","2000023010",1.7,1.7,125.0,351.3,"0","0","2","32980","2","23","232","2326","23261","232610","2326101","23261012","232610120","2326101201","23261012010","232610120100"
"MULTIPOLYGON (((4.17083333333335 51.9458333333334,4.17083333333335 51.95,4.175 51.95,4.1783157348633 51.9508509318034,4.17916666666668 51.9541666666667,4.18333333333335 51.9541666666667,4.19383934868708 51.9547717624241,4.19782731797962 51.957728237576,4.20633934868708 51.9589384290907,4.21032731797962 51.9618949042427,4.25217268202042 51.9631050957574,4.25616065131295 51.9660615709093,4.26050601535375 51.9672717624241,4.26572180853951 51.9711386786567,4.2665969848633 51.9652160644532,4.26189490424264 51.9588740030925,4.26426408555774 51.9535615709093,4.27300601535375 51.9547717624241,4.27708333333335 51.9577945285374,4.28125 51.9547054714627,4.2869593302409 51.9589384290907,4.29506140814889 51.9575134277344,4.29660932752823 51.946624077691,4.30616065131295 51.9381050957574,4.31050601535375 51.9368949042427,4.31449398464629 51.9339384290907,4.31883934868708 51.932728237576,4.32699398464629 51.9256050957574,4.33257988823787 51.9240495469835,4.33408677842884 51.9134504530165,4.34075910780167 51.911592441135,4.34166666666669 51.9083333333334,4.34060618082684 51.9048990885417,4.32156931559247 51.9034088134766,4.32083333333335 51.8916666666667,4.32083333333335 51.8875,4.31740078396269 51.8866190592448,4.31609937879776 51.8782294379341,4.3244327121311 51.8688771565756,4.32556728786894 51.8644561767578,4.32869788275827 51.8604166666667,4.3246041191949 51.8551344129775,4.3186228434245 51.8535993787978,4.31471048990887 51.850567287869,4.30918426513674 51.8491490681966,4.30833333333335 51.8458333333334,4.2686228434245 51.8452660454644,4.26471048990887 51.8422339545356,4.25739610460071 51.8410993787978,4.24804382324221 51.8494327121311,4.23945617675783 51.850567287869,4.23430107964411 51.8545625474718,4.23248240152997 51.8616490681966,4.2258509318034 51.8633509318034,4.22414906819663 51.86998240153,4.21751759847007 51.8716842651368,4.21609937879776 51.8772104899089,4.2121041191949 51.8823655870226,4.2061228434245 51.8839006212023,4.20221048990887 51.8869327121311,4.2 51.8875,4.20056728786894 51.8897104899089,4.20776604546443 51.8977895100912,4.20890062120227 51.9022104899089,4.21193271213109 51.9061228434245,4.21306728786894 51.9112850613065,4.2061228434245 51.913067287869,4.20221048990887 51.9160993787978,4.19778951009116 51.9172339545356,4.19387715657554 51.9202660454644,4.18945617675783 51.9214006212023,4.17721048990887 51.9327660454644,4.16755405002172 51.9340418497722,4.16666666666668 51.9375,4.16732788085939 51.9449337429471,4.17083333333335 51.9458333333334)))","2000379680","2000023010","2000023010","2000023010",1.9,1.9,101.4,162653.3,"0","0","1","32981","2","23","232","2326","23261","232610","2326101","23261013","232610130","2326101300","23261013000","232610130000"
"MULTIPOLYGON (((4.50833333333335 51.8708333333334,4.45195617675783 51.8714006212023,4.44804382324221 51.8744327121311,4.44092000325523 51.875567287869,4.43554382324221 51.8714006212023,4.40342000325523 51.8702660454644,4.39804382324221 51.8744327121311,4.3811228434245 51.875567287869,4.37721048990887 51.8785993787978,4.36175333658856 51.8797339545356,4.35637715657554 51.875567287869,4.34508666992189 51.8744327121311,4.33846774631078 51.8795625474718,4.33664906819663 51.8866490681966,4.33001759847007 51.8883509318034,4.32916666666669 51.8916666666667,4.32083333333335 51.8916666666667,4.32156931559247 51.9034088134766,4.34060618082684 51.9048990885417,4.34166666666669 51.9083333333334,4.34387715657554 51.9089006212023,4.34778951009116 51.9119327121311,4.35221048990887 51.913067287869,4.35767737494577 51.9176264444987,4.35899454752606 51.9324337429471,4.36471048990887 51.9339006212023,4.37278951009116 51.9410993787978,4.3783157348633 51.9425175984701,4.37916666666669 51.9458333333334,4.38159111870662 51.9454800075955,4.38507554796009 51.9420199924045,4.39409111870662 51.9413133409289,4.40661688910592 51.9288133409289,4.43159111870662 51.9295199924046,4.43924221462676 51.9371466742622,4.47083333333335 51.9375,4.47140062120228 51.9352895100912,4.4744327121311 51.9313771565756,4.47591569688587 51.9255984836155,4.51575096978084 51.9244015163846,4.51751759847007 51.9175175984701,4.52083333333335 51.9166666666667,4.52083333333335 51.9125,4.51666666666669 51.9125,4.51666666666669 51.9083333333334,4.51424221462676 51.9079800075955,4.5086869981554 51.9024524264866,4.50833333333335 51.8708333333334)))","2000381010","2000379680","2000023010","2000023010",15.4,15.4,77.8,161129.9,"0","0","1","32982","2","23","232","2326","23261","232610","2326101","23261015","232610150","2326101501","23261015010","232610150100"
"MULTIPOLYGON (((4.30833333333335 51.8458333333334,4.30918426513674 51.8491490681966,4.31471048990887 51.850567287869,4.3186228434245 51.8535993787978,4.3246041191949 51.8551344129775,4.32869788275827 51.8604166666667,4.32556728786894 51.8644561767578,4.3244327121311 51.8688771565756,4.31609937879776 51.8782294379341,4.31740078396269 51.8866190592448,4.32083333333335 51.8875,4.32083333333335 51.8916666666667,4.32916666666669 51.8916666666667,4.33001759847007 51.8883509318034,4.33664906819663 51.8866490681966,4.33846774631078 51.8795625474718,4.34508666992189 51.8744327121311,4.35637715657554 51.875567287869,4.36175333658856 51.8797339545356,4.37721048990887 51.8785993787978,4.3811228434245 51.875567287869,4.39804382324221 51.8744327121311,4.40342000325523 51.8702660454644,4.43554382324221 51.8714006212023,4.44092000325523 51.875567287869,4.44804382324221 51.8744327121311,4.45195617675783 51.8714006212023,4.50833333333335 51.8708333333334,4.51492445203995 51.8704800075955,4.51840888129342 51.8670199924046,4.52325778537328 51.8663133409289,4.52745378282337 51.8621466742622,4.54409111870662 51.8628533257379,4.54757554796009 51.8663133409289,4.55416666666669 51.8666666666667,4.55659111870662 51.8663133409289,4.56007554796009 51.8628533257379,4.56492445203995 51.8621466742622,4.56840888129342 51.8586866590712,4.58575778537328 51.8579800075955,4.58924221462676 51.8545199924045,4.6 51.8541666666667,4.59964667426217 51.8517422146268,4.59548000759551 51.8475462171767,4.5961866590712 51.8434088812934,4.60035332573787 51.8392128838434,4.59964667426217 51.8350755479601,4.59201999240454 51.82742445204,4.59130859375002 51.8225431654189,4.58575778537328 51.8170199924045,4.57257554796009 51.8163133409289,4.56909111870662 51.8128533257379,4.56666666666669 51.8125,4.56666666666669 51.8083333333334,4.55195617675783 51.8077660454644,4.54804382324221 51.8047339545356,4.5450866699219 51.8035993787978,4.53971048990887 51.8077660454644,4.52278951009117 51.8089006212023,4.51874118381078 51.8120381673177,4.51054382324221 51.8047339545356,4.4936228434245 51.8035993787978,4.48971048990887 51.800567287869,4.47278951009117 51.7994327121311,4.46341976589629 51.7910837809245,4.46164906819663 51.7841842651368,4.4561228434245 51.7827660454644,4.45096774631078 51.7787707858616,4.44914906819663 51.7716842651367,4.44583333333335 51.7708333333334,4.43951907687719 51.7702031453451,4.43391418457033 51.7661693996854,4.42158338758682 51.7674262152778,4.42020314534507 51.7819256252713,4.42847205268014 51.7843522813585,4.42979685465497 51.8049268934462,4.41611718071834 51.8199842664931,4.40618574354386 51.8214635213216,4.40214758978952 51.8243698120118,4.39661644829646 51.8259930080838,4.39509039984811 51.8362374199762,4.39127044677736 51.8381301879883,4.38548092312285 51.8339635213216,4.3621037801107 51.8327031453451,4.35625 51.8369160970052,4.35214758978952 51.8339635213216,4.34543711344403 51.8327031453451,4.33964758978952 51.8368698120118,4.33118574354386 51.8381301879883,4.32714758978952 51.8410364786784,4.30934906005861 51.8423721313477,4.30833333333335 51.8458333333334)))","2000381120","2000379680","2000023010","2000023010",15.6,15.6,124.8,1422.7,"0","0","2","32983","2","23","232","2326","23261","232610","2326101","23261014","232610141","2326101411","23261014110","232610141100"
"MULTIPOLYGON (((4.37916666666669 51.9458333333334,4.37570851643882 51.9467207166884,4.3744327121311 51.9563771565756,4.36723395453561 51.9644561767578,4.36609937879776 51.9688771565756,4.36306728786894 51.9727895100912,4.36193271213109 51.9772104899089,4.35473395453561 51.9852895100912,4.35359937879776 51.9897104899089,4.3496041191949 51.9948655870226,4.34251759847007 51.9966842651368,4.34109937879776 52.0022104899089,4.33390062120228 52.0102895100912,4.33333333333335 52.025,4.33248240152997 52.0283157348633,4.32916666666669 52.0291666666667,4.32863718668622 52.031414964464,4.31502804226347 52.0457975599501,4.30933261447484 52.0411846584744,4.30484025743274 52.0425838894315,4.30363718668622 52.0509407891168,4.30780385335288 52.0560850355361,4.30886281331382 52.0647482977973,4.31197052001955 52.0685850355361,4.31302947998049 52.0759407891168,4.30886281331382 52.0810850355361,4.30780385335288 52.0897482977973,4.30469614664715 52.0935850355361,4.30416666666668 52.0958333333334,4.30501759847007 52.0991492377387,4.3121041191949 52.1009677463108,4.31609937879776 52.1061228434245,4.31758643256295 52.1119171142578,4.32695617675783 52.1202660454644,4.33554382324221 52.1214006212023,4.33945617675783 52.1244327121311,4.34387715657554 52.1255672878689,4.34778951009116 52.1285993787978,4.35221048990887 52.1297339545356,4.3561228434245 52.1327660454644,4.36054382324221 52.1339006212023,4.3686228434245 52.1410993787978,4.37083333333335 52.1416666666667,4.37149454752606 52.1342329237196,4.37721048990887 52.1327660454644,4.38258666992189 52.1285993787978,4.39488406711156 52.1298350016276,4.3994327121311 52.1352895100912,4.40096774631078 52.1412706163195,4.4061228434245 52.1452660454644,4.42304382324221 52.1464006212023,4.42842000325523 52.1505672878689,4.43971048990887 52.1494327121311,4.4436228434245 52.1464006212023,4.45637715657554 52.1452660454644,4.46175333658856 52.1410993787978,4.48137715657554 52.1422339545356,4.48675333658856 52.1464006212023,4.49804382324221 52.1452660454644,4.50195617675783 52.1422339545356,4.50833333333335 52.1416666666667,4.50798000759551 52.1392422146268,4.50035332573787 52.1315911187066,4.5 52.1166666666667,4.4966015285916 52.1156950208876,4.4950391981337 52.1049608018664,4.48306596544056 52.1032180786133,4.48688235812719 52.0979934692383,4.48811764187285 52.0811731974284,4.49104902479386 52.077160135905,4.49228430853952 52.0728398640951,4.49521569146052 52.0688268025716,4.49645097520618 52.0661975436741,4.49155273437502 52.0594921535916,4.48533986409507 52.0577156914605,4.47716013590497 52.0506176418729,4.47283986409507 52.0493823581272,4.45073479546443 52.02836066352,4.45 52.0208333333333,4.46471048990887 52.0202660454644,4.47278951009117 52.013067287869,4.48248765733509 52.011786058214,4.48353474934898 52.0071146647136,4.47973395453561 52.0022104899089,4.47845815022788 51.9925540500217,4.47168426513674 51.9908157348633,4.47026604546443 51.9852895100912,4.46713545057511 51.98125,4.47026604546443 51.9772104899089,4.47140062120228 51.9644561767578,4.4744327121311 51.9605438232422,4.47556728786894 51.9519561767578,4.47973395453561 51.9465799967448,4.47815992567276 51.9424775865343,4.47168426513674 51.9408157348633,4.47083333333335 51.9375,4.43924221462676 51.9371466742622,4.43159111870662 51.9295199924046,4.40661688910592 51.9288133409289,4.39409111870662 51.9413133409289,4.38507554796009 51.9420199924045,4.38159111870662 51.9454800075955,4.37916666666669 51.9458333333334)))","2001114020","2000379530","2000023010","2000023010",17.1,17.1,226.4,226.4,"0","0","2","32984","2","23","232","2326","23261","232610","2326101","23261012","232610120","2326101202","23261012020","232610120200"
"MULTIPOLYGON (((4.50833333333335 51.8708333333334,4.5086869981554 51.9024524264866,4.51424221462676 51.9079800075955,4.51666666666669 51.9083333333334,4.51666666666669 51.9125,4.52083333333335 51.9125,4.53159111870662 51.9128533257379,4.53507554796009 51.9163133409289,4.53992445203995 51.9170199924045,4.54340888129342 51.9204800075955,4.55659111870662 51.9211866590712,4.56007554796009 51.9246466742622,4.56492445203995 51.9253533257379,4.56840888129342 51.9288133409289,4.57083333333335 51.9291666666667,4.57026604546443 51.9227895100912,4.56713545057511 51.91875,4.57026604546443 51.9147104899089,4.57168426513674 51.9091842651368,4.575 51.9083333333334,4.57414906819664 51.9050175984701,4.57083333333335 51.9041666666667,4.57083333333335 51.9,4.57009819878474 51.8924692789714,4.55930497911243 51.8908984714085,4.55771569146052 51.8853398640951,4.55478430853952 51.8813268025716,4.55416666666669 51.8666666666667,4.54757554796009 51.8663133409289,4.54409111870662 51.8628533257379,4.52745378282337 51.8621466742622,4.52325778537328 51.8663133409289,4.51840888129342 51.8670199924046,4.51492445203995 51.8704800075955,4.50833333333335 51.8708333333334)))","2000380580","2000381010","2000023010","2000023010",31.2,31.2,21.6,160883.2,"0","0","1","32985","2","23","232","2326","23261","232610","2326101","23261015","232610150","2326101503","23261015030","232610150300"
"MULTIPOLYGON (((4.52083333333335 51.9125,4.52083333333335 51.9166666666667,4.51751759847007 51.9175175984701,4.51575096978084 51.9244015163846,4.47591569688587 51.9255984836155,4.4744327121311 51.9313771565756,4.47140062120228 51.9352895100912,4.47083333333335 51.9375,4.47168426513674 51.9408157348633,4.47815992567276 51.9424775865343,4.47973395453561 51.9465799967448,4.47556728786894 51.9519561767578,4.4744327121311 51.9605438232422,4.47140062120228 51.9644561767578,4.47026604546443 51.9772104899089,4.46713545057511 51.98125,4.47026604546443 51.9852895100912,4.47168426513674 51.9908157348633,4.47845815022788 51.9925540500217,4.47973395453561 52.0022104899089,4.48353474934898 52.0071146647136,4.48248765733509 52.011786058214,4.47278951009117 52.013067287869,4.46471048990887 52.0202660454644,4.45 52.0208333333333,4.45073479546443 52.02836066352,4.47283986409507 52.0493823581272,4.47716013590497 52.0506176418729,4.48533986409507 52.0577156914605,4.49155273437502 52.0594921535916,4.49645097520618 52.0661975436741,4.49521569146052 52.0688268025716,4.49228430853952 52.0728398640951,4.49104902479386 52.077160135905,4.48811764187285 52.0811731974284,4.48688235812719 52.0979934692383,4.48306596544056 52.1032180786133,4.4950391981337 52.1049608018664,4.4966015285916 52.1156950208876,4.5 52.1166666666667,4.50833333333335 52.1166666666667,4.51044311523439 52.11599867079,4.51458333333335 52.1131496853299,4.51872355143231 52.11599867079,4.5229431152344 52.1173346625434,4.52708333333335 52.1201836480035,4.53122355143231 52.1173346625434,4.54377644856773 52.11599867079,4.54789021809898 52.1131679958768,4.58677062988283 52.1117848714193,4.5875 52.0958333333334,4.58325873480905 52.0946207682292,4.58688235812719 52.089660135905,4.58821716308596 52.0759862263998,4.59382680257164 52.0743823581272,4.59884117974177 52.0707194010417,4.60061764187285 52.0645065307618,4.60354902479386 52.0604934692383,4.60478430853952 52.0578642103407,4.59966888427736 52.0508614434137,4.58825361463761 52.049200100369,4.58688235812719 52.0370308770074,4.59193403455948 52.0301152547201,4.57989603678388 52.0283632066515,4.57854902479386 52.0138678656684,4.58673180474177 52.011528354221,4.58811764187285 52.0020065307618,4.59521569146052 51.9938268025716,4.59645097520618 51.9895065307618,4.59938235812719 51.9854934692383,4.60061764187285 51.9811731974284,4.60354902479386 51.977160135905,4.60478430853952 51.9728398640951,4.61279669867624 51.9636064317492,4.62104458279082 51.9612482706706,4.60772993299698 51.9466551038954,4.59783986409507 51.9452156914605,4.59382680257164 51.9422843085395,4.58950653076174 51.9410490247939,4.5854934692383 51.9381176418729,4.57700653076174 51.9368823581272,4.5719921535916 51.9332194010417,4.57083333333335 51.9291666666667,4.56840888129342 51.9288133409289,4.56492445203995 51.9253533257379,4.56007554796009 51.9246466742622,4.55659111870662 51.9211866590712,4.54340888129342 51.9204800075955,4.53992445203995 51.9170199924045,4.53507554796009 51.9163133409289,4.53159111870662 51.9128533257379,4.52083333333335 51.9125)))","2000380390","2000381010","2000023010","2000023010",31.2,31.2,169.3,169.4,"0","0","2","32986","2","23","232","2326","23261","232610","2326101","23261015","232610150","2326101502","23261015020","232610150200"
"MULTIPOLYGON (((4.57083333333335 51.9,4.57083333333335 51.9041666666667,4.57414906819664 51.9050175984701,4.575 51.9083333333334,4.58575778537328 51.9086866590712,4.59340888129342 51.9163133409289,4.63159111870662 51.9170199924045,4.63924221462676 51.9246466742622,4.64409111870662 51.9253533257379,4.64828711615671 51.9295199924046,4.66492445203995 51.9288133409289,4.66840888129342 51.9253533257379,4.68333333333335 51.925,4.68395097520618 51.9228398640951,4.68811764187285 51.9171357896593,4.68688235812719 51.9103398640951,4.68306596544056 51.9051152547201,4.69509819878474 51.903364054362,4.69583333333336 51.8958333333334,4.69645097520618 51.8936731974284,4.70061764187285 51.8879691229927,4.69884406195749 51.8841940985786,4.69104902479386 51.881965467665,4.69263949924047 51.8702156914605,4.71882680257164 51.8714509752062,4.72283986409507 51.8743823581272,4.7354934692383 51.8756176418729,4.73950653076174 51.8785490247939,4.7479934692383 51.8797843085395,4.75200653076174 51.8827156914605,4.7604934692383 51.8839509752062,4.76450653076174 51.8868823581272,4.77716013590497 51.8881176418729,4.78125 51.8911051432292,4.78541666666669 51.8880615234375,4.78950653076174 51.8910490247939,4.8104934692383 51.8922843085395,4.81450653076174 51.8952156914605,4.83132680257164 51.8964509752062,4.83533986409507 51.8993823581272,4.83966013590497 51.9006176418729,4.84367302788631 51.9035490247939,4.8604936387804 51.9047843085395,4.86450636121964 51.9077156914605,4.87716030544707 51.9089509752062,4.88125 51.9119384765625,4.88533969455297 51.9089509752062,4.89799363878041 51.9077156914605,4.90200636121964 51.9047843085395,4.90740695529516 51.9032402886285,4.90833333333336 51.9,4.90797899034291 51.8892150878907,4.89825778537329 51.8795199924045,4.89340888129343 51.8788133409289,4.88575778537329 51.8711866590712,4.87257554796009 51.8704800075955,4.86909111870662 51.8670199924046,4.86424221462676 51.8663133409289,4.86075778537329 51.8628533257379,4.85174221462676 51.8621466742622,4.84825778537329 51.8586866590712,4.82257554796009 51.8579800075955,4.81909111870662 51.8545199924045,4.76424221462676 51.8538133409289,4.76075778537329 51.8503533257379,4.7375 51.85,4.73528951009117 51.8494327121311,4.73137715657554 51.8464006212023,4.69778951009117 51.8452660454644,4.69263441297745 51.8412707858616,4.69109937879776 51.8352895100912,4.68650224473743 51.8297770182292,4.66028951009117 51.8285993787978,4.65637715657554 51.825567287869,4.64778951009117 51.8244327121311,4.64375 51.8213021172418,4.63971048990888 51.8244327121311,4.63404184977216 51.8258873833551,4.63276604546443 51.8355438232422,4.62820688883466 51.8410107082791,4.61445617675783 51.8422339545356,4.60221048990887 51.8535993787978,4.6 51.8541666666667,4.58924221462676 51.8545199924045,4.58575778537328 51.8579800075955,4.56840888129342 51.8586866590712,4.56492445203995 51.8621466742622,4.56007554796009 51.8628533257379,4.55659111870662 51.8663133409289,4.55416666666669 51.8666666666667,4.55478430853952 51.8813268025716,4.55771569146052 51.8853398640951,4.55930497911243 51.8908984714085,4.57009819878474 51.8924692789714,4.57083333333335 51.9)))","2000380800","2000380580","2000023010","2000023010",36.1,36.1,134.2,160475.7,"0","0","1","32987","2","23","232","2326","23261","232610","2326101","23261017","232610171","2326101711","23261017110","232610171100"
"MULTIPOLYGON (((4.65833333333335 51.975,4.65890062120228 51.9727895100912,4.6619327121311 51.9688771565756,4.66341298421226 51.9631093343099,4.69260389539933 51.9619327121311,4.70195617675783 51.9702660454644,4.70637715657554 51.9714006212023,4.71028951009117 51.9744327121311,4.71471048990888 51.975567287869,4.7186228434245 51.9785993787978,4.72721048990888 51.9797339545356,4.7311228434245 51.9827660454644,4.73971048990888 51.9839006212023,4.7436228434245 51.9869327121311,4.78658345540367 51.9880954318577,4.7875 51.9916666666667,4.78992445203995 51.9913133409289,4.79340888129343 51.9878533257379,4.80659111870662 51.9871466742622,4.81007554796009 51.9836866590712,4.81495683458119 51.9829752604167,4.82048000759551 51.97742445204,4.82083333333336 51.975,4.82026604546443 51.9727895100912,4.81723395453561 51.9688771565756,4.81577928331165 51.9632085164388,4.8061228434245 51.9619327121311,4.80221048990888 51.9589006212023,4.78528951009117 51.9577660454644,4.78137715657554 51.9547339545356,4.76445617675784 51.9535993787978,4.76054382324221 51.950567287869,4.75195617675783 51.9494327121311,4.74387715657554 51.9422339545356,4.73528951009117 51.9410993787978,4.72721048990888 51.9339006212023,4.7186228434245 51.9327660454644,4.71471048990888 51.9297339545356,4.71028951009117 51.9285993787978,4.70637715657554 51.925567287869,4.68333333333335 51.925,4.66840888129342 51.9253533257379,4.66492445203995 51.9288133409289,4.64828711615671 51.9295199924046,4.64409111870662 51.9253533257379,4.63924221462676 51.9246466742622,4.63159111870662 51.9170199924045,4.59340888129342 51.9163133409289,4.58575778537328 51.9086866590712,4.575 51.9083333333334,4.57168426513674 51.9091842651368,4.57026604546443 51.9147104899089,4.56713545057511 51.91875,4.57026604546443 51.9227895100912,4.57083333333335 51.9291666666667,4.5719921535916 51.9332194010417,4.57700653076174 51.9368823581272,4.5854934692383 51.9381176418729,4.58950653076174 51.9410490247939,4.59382680257164 51.9422843085395,4.59783986409507 51.9452156914605,4.60772993299698 51.9466551038954,4.62104458279082 51.9612482706706,4.61279669867624 51.9636064317492,4.60478430853952 51.9728398640951,4.60354902479386 51.977160135905,4.60061764187285 51.9811731974284,4.59938235812719 51.9854934692383,4.59645097520618 51.9895065307618,4.59521569146052 51.9938268025716,4.58811764187285 52.0020065307618,4.58673180474177 52.011528354221,4.57854902479386 52.0138678656684,4.57989603678388 52.0283632066515,4.59193403455948 52.0301152547201,4.58688235812719 52.0370308770074,4.58825361463761 52.049200100369,4.59966888427736 52.0508614434137,4.60478430853952 52.0578642103407,4.60354902479386 52.0604934692383,4.60061764187285 52.0645065307618,4.59884117974177 52.0707194010417,4.59382680257164 52.0743823581272,4.58821716308596 52.0759862263998,4.58688235812719 52.089660135905,4.58325873480905 52.0946207682292,4.5875 52.0958333333334,4.59382680257164 52.0964509752062,4.61040717230905 52.1119454277887,4.61450653076174 52.1089509752062,4.61990695529516 52.1074069552952,4.62220119900176 52.0993823581272,4.63132680257164 52.1006176418729,4.63533986409507 52.1035490247939,4.64089847140844 52.1051383124458,4.64266628689238 52.1172843085395,4.64521569146052 52.114660135905,4.64583333333335 52.1083333333334,4.64526604546443 52.0936228434245,4.6414020114475 52.0886371188694,4.65056728786895 52.0862850613065,4.6494327121311 52.0811228434245,4.64640062120228 52.0772104899089,4.64526604546443 52.0686228434245,4.64223395453561 52.0647104899089,4.64109937879776 52.0477895100912,4.63806728786895 52.0438771565756,4.6369327121311 52.0394561767578,4.63390062120228 52.0355438232422,4.63276604546443 52.0311228434245,4.62859937879776 52.0257466634115,4.63017340766061 52.021644253201,4.63691711425783 52.0199135674371,4.64526604546443 52.0105438232422,4.64640062120228 52.0061228434245,4.6494327121311 52.0022104899089,4.65056728786895 51.9936228434245,4.65359937879776 51.9897104899089,4.65473395453561 51.9852895100912,4.65776604546443 51.9813771565756,4.65833333333335 51.975)))","2000380590","2000380580","2000023010","2000023010",36.1,36.1,125.0,386.0,"0","0","2","32988","2","23","232","2326","23261","232610","2326101","23261016","232610160","2326101601","23261016010","232610160100"
